ready	folder	essay	thumbnail	manifest	height	width	format	iiif-url	attribution	source	author	description	license	label	url	attribution-url
		20c-cohen-biography												Alfred Cohen, Near Goudhurst, 1965, oil on board, 9.75 x 11.in; 24.8 x 29.9 cm. © The Artist’s Estate. Collection: Diana Cohen. Photo: Peter Huggins	images/neargoudhurst.jpg	
		20c-cohen-biography												Red Landscape in Kent, 1965, oil on canvas, 18 x 22 in; 45.7 x 55.9 cm. Alfred Cohen Art Foundation; gift of Michael and Jill Barrington. © The Artist’s Estate. Photo: Peter Huggins	images/redlandscape.jpg	
		20c-cohen-biography												Copden House in 1970. Photo: Alfred Cohen Archives	images/copden.jpg	
		20c-cohen-biography												Copden House in 1974. Photo: Alfred Cohen Archive	images/copden1974.jpg	
		20c-cohen-biography												Alfred Cohen, Folkestone, 1974, oil on hardboard, 16 x 20 in; 40.6 x 50.8 cm. © The Artist’s Estate. Private Collection. Photo: Peter Huggins	images/folkestone.jpg	
		20c-cohen-biography												Scullsgate Oast, Benenden, c. 1978. Photo: Alfred Cohen Archive	images/scullsgate.jpg	
		20c-cohen-biography												Alfred Cohen in his studio at Scullsgate Oast, 1978. Photo: Alfred Cohen Archive.	images/cohenstudio.jpg	
		20c-cohen-biography												Alfred Cohen, The Walmer Lifeboat and the Goodwin Sands, 1964, casein on board, 18 x 24 in; 45.7 x 61 cm. © The Artist’s Estate. Photo: Peter Huggins. Arts Council England	images/walmerlifeboat.jpg	
	20c	20c-craig-biography													images/Edith Craig.JPG	
		20c-wellshg-biography							Library of the London School of Economics and Political Science, No restrictions, via Wikimedia Commons					H.G.	https://upload.wikimedia.org/wikipedia/commons/5/54/H._G._Wells%2C_c.1890.jpg	
		20c-wellshg-biography							British Museum, Public domain, via Wikimedia Commons					Sandgate, 1892	https://upload.wikimedia.org/wikipedia/commons/0/02/Sandgate%2C_Kent_%28BM_1892%2C0714.10%29.jpg	
		20c-wellshg-biography							© Martin Crowther.					20, Castle Road	images/castlerd MJC.jpg	
